building_id,building_name,ward,area,year_built,inspection_date,condition,risk_level,recommended_action
1762ac42-383f-4054-92c4-cde99951bd08,Building 1 CHS,Naupada-Kopri,Sector 4,2001,2021-09-18,Good,C3,Repair
690c66a9-f524-4bea-8beb-58c7233185ca,Building 2 CHS,Naupada-Kopri,Sector 4,1983,2020-12-23,Poor,C3,Repair
56e0e8e6-b0fc-49a6-97b0-bc1e76e47824,Building 3 CHS,Diva,Sector 4,2005,2022-11-23,Fair,C3,Repair
a7f12118-7c9d-4422-acb0-4f38ce89d89f,Building 4 CHS,Kalwa,Sector 1,1999,2018-07-01,Good,Safe,Monitor
64e8e841-05e9-47cb-8442-4a0b0c2b2052,Building 5 CHS,Lokmanya-Savarkar Nagar,Sector 12,2016,2024-01-15,Fair,Safe,Monitor
12ff0fca-85bd-4dd8-89dc-e911a92e9bbb,Building 6 CHS,Majiwada-Manpada,Sector 4,2005,2021-09-14,Fair,Safe,Monitor
2360fa68-d5e9-4edc-98cf-7a7fc78a9d1d,Building 7 CHS,Kalwa,Sector 10,1988,2021-08-29,Fair,Safe,Monitor
4554274a-dac4-4c24-a3fa-af15baa2a380,Building 8 CHS,Kalwa,Sector 6,2020,2022-09-19,Good,Safe,Monitor
3b907738-43bd-4e39-9b71-657b597725e1,Building 9 CHS,Naupada-Kopri,Sector 10,2022,2024-02-23,Good,Safe,Monitor
3a2915fb-5ecc-4033-ae55-f2f34dfea7eb,Building 10 CHS,Majiwada-Manpada,Sector 15,1986,2024-10-20,Fair,C3,Repair
1c0bf3e7-acae-4850-bb82-0f7d7e162828,Building 11 CHS,Diva,Sector 16,2006,2020-05-25,Good,Safe,Monitor
920c292f-cd4a-4f61-bf77-eb28ac248144,Building 12 CHS,Majiwada-Manpada,Sector 3,1971,2025-06-12,Dilapidated,C2A,Evacuate
c704b356-c38c-41e8-9185-cdebb65917c1,Building 13 CHS,Wagle Estate,Sector 1,1980,2020-03-26,Dilapidated,C2A,Evacuate
2aa90c8d-0bd1-473a-9863-bd606ae52cfd,Building 14 CHS,Mumbra,Sector 14,1955,2018-10-26,Poor,C2A,Evacuate
f08237d0-d8fd-4dfd-8ea1-a3fc6966545d,Building 15 CHS,Kalwa,Sector 16,2023,2025-10-23,Good,Safe,Monitor
