incident_id,incident_date,ward,area,incident_type,severity,affected_population,injuries,deaths,financial_loss,response_time_minutes,resolution_time_hours,status
98ba6f45-8769-4244-9228-61ca35e18917,2019-07-13,Majiwada-Manpada,Locality 49,Fire,Moderate,2,1,0,12348.36,20,40,Resolved
42774e2a-b299-4498-a7e8-ef56724a8580,2023-08-15,Diva,Locality 31,Flood,Critical,355,15,0,946800.32,29,42,Resolved
0a496a36-4d6e-49f8-818a-e7b39d4af119,2020-08-27,Uthalsar,Locality 33,Flood,Minor,11,3,0,38148.85,44,69,Resolved
930e8135-c7a2-4d5b-b6e5-4ab9a5cd5b32,2022-03-19,Uthalsar,Locality 7,Gas Leakage,Moderate,11,3,0,2265.82,38,38,Resolved
123de484-d26c-4608-9db5-8156198b5670,2023-09-12,Lokmanya-Savarkar Nagar,Locality 14,Fire,Moderate,14,1,0,4023.87,55,36,Resolved
81c9537d-de29-4353-a899-41bc2b55fa8f,2019-04-17,Majiwada-Manpada,Locality 8,Gas Leakage,Minor,13,3,0,48576.2,6,64,Resolved
4cf6bf0a-cf9e-4e9b-b60d-d1d3ff01e74b,2022-05-18,Uthalsar,Locality 3,Road Accident,Minor,14,2,0,1111.06,8,35,Resolved
4e1433fe-afa3-4212-9e19-00d87055c841,2019-06-02,Kalwa,Locality 11,Tree Fall,Minor,18,0,0,22782.12,43,63,Resolved
ea0d45dc-39ba-40e2-84e5-3d4660dbbd2c,2026-06-17,Majiwada-Manpada,Locality 17,Tree Fall,Major,301,11,0,8539.57,18,35,Resolved
18a2a29d-8d88-4e36-8be6-4846aff96df0,2020-10-28,Majiwada-Manpada,Locality 27,Road Accident,Minor,13,5,0,46065.32,35,25,Resolved
07e8bf1c-b6cc-4316-a4da-111c1c976bb7,2022-06-15,Majiwada-Manpada,Locality 43,Fire,Moderate,15,3,0,41979.45,49,32,Resolved
30c3ca0d-00a6-414a-9920-a930f92d2e6f,2023-01-07,Wagle Estate,Locality 45,Gas Leakage,Minor,15,5,0,29914.45,55,56,Resolved
8ac59790-7e66-4fea-acb0-55e221b33226,2024-07-01,Uthalsar,Locality 11,Tree Fall,Moderate,11,1,0,35331.36,21,8,Resolved
408e8aad-2d82-4363-8cfb-4b3580a2390f,2019-06-07,Uthalsar,Locality 10,Tree Fall,Moderate,15,3,0,42489.4,34,46,Resolved
74e7e7f2-3ac9-400d-9f1f-1f18e81452d6,2025-01-04,Wagle Estate,Locality 7,Road Accident,Major,224,20,0,49651.22,52,60,Resolved
77806865-8381-417b-a616-25786f26ba4d,2018-09-14,Vartak Nagar,Locality 45,Tree Fall,Minor,9,5,0,23467.44,41,4,Resolved
838361cf-52ee-4206-af3d-fd6615fb9e71,2025-08-24,Kalwa,Locality 3,Flood,Moderate,4,1,0,46713.21,15,57,Resolved
3b360a04-229a-44e9-857c-921ea55c7923,2021-05-03,Kalwa,Locality 20,Road Accident,Moderate,13,1,0,29153.14,25,66,Resolved
b59d98d2-2869-4aaf-9084-2218f5f04d35,2024-06-02,Vartak Nagar,Locality 42,Flood,Minor,1,3,0,49452.64,37,21,Resolved
da3fe294-9530-4f31-828e-3b650abde682,2018-07-13,Uthalsar,Locality 26,Fire,Minor,2,5,0,18195.14,47,24,Resolved
339ac1f0-7155-42a0-b948-181c3b3a80f3,2025-08-08,Uthalsar,Locality 46,Flood,Major,221,6,0,39855.19,48,8,Resolved
862b3b8f-3b4c-4b85-a71f-d0298625569c,2023-07-10,Naupada-Kopri,Locality 41,Tree Fall,Minor,20,5,0,32111.32,22,21,Resolved
9a28472c-590a-49e8-935c-23035ff9c1f8,2022-09-08,Majiwada-Manpada,Locality 5,Flood,Minor,14,1,0,47307.33,37,56,Resolved
045f3d6e-59da-4599-83bd-0b582d96b720,2023-01-18,Uthalsar,Locality 15,Fire,Minor,5,4,0,2569.09,26,58,Resolved
ccf55775-5797-4427-8708-634c9e396f59,2025-08-28,Diva,Locality 24,Flood,Major,68,19,0,19857.63,27,43,Resolved
822ec9a5-5bc3-4db8-a806-e7afcd2a57ef,2025-06-01,Majiwada-Manpada,Locality 3,Tree Fall,Moderate,17,3,0,1411.54,15,48,Resolved
35c8db33-f22c-421b-a351-d9337baad879,2022-09-10,Uthalsar,Locality 38,Tree Fall,Minor,13,1,0,17839.97,48,70,Resolved
fbc9f9c3-0b0f-405e-9618-3f2ee5e75218,2026-06-13,Wagle Estate,Locality 25,Fire,Major,331,9,0,16368.44,6,5,Resolved
922deedb-9a12-4aca-99bb-c3d73c28a117,2023-07-03,Mumbra,Locality 5,Flood,Major,443,20,0,43755.23,33,47,Resolved
e9a577b3-5553-479d-8ce7-195b6f0193d5,2026-08-09,Majiwada-Manpada,Locality 49,Fire,Minor,8,1,0,23262.78,17,35,Resolved
9a7da0c3-0470-4f4a-8287-6f51da7eedf3,2026-06-21,Naupada-Kopri,Locality 8,Building Emergency,Moderate,6,4,0,49685.65,32,21,Resolved
0287c3f7-ce95-4b4d-b9ee-ad8e3c7e9056,2024-04-09,Kalwa,Locality 50,Heat Wave,Minor,10,1,0,46986.91,56,56,Resolved
ed9c7bf0-00a5-4759-808a-a4ff5b1c9740,2022-06-25,Mumbra,Locality 18,Flood,Minor,16,5,0,25992.84,5,14,Resolved
b6ac51d4-2f58-49e2-8c9e-410a56a140fb,2025-03-03,Diva,Locality 16,Fire,Moderate,14,0,0,38945.3,40,33,Resolved
f571a134-fbbd-485f-a688-6ccfefd0ce5d,2026-05-22,Uthalsar,Locality 1,Road Accident,Major,372,14,0,26250.99,36,32,Resolved
280fba8a-f93a-4a70-abfa-8b6b70e16560,2026-07-26,Naupada-Kopri,Locality 35,Flood,Minor,3,5,0,45544.84,37,6,Resolved
21c4a648-35a5-44f7-8641-561832fa7edc,2018-07-11,Naupada-Kopri,Locality 22,Flood,Moderate,12,5,0,6502.99,51,7,Resolved
7ca7201d-a945-452d-909a-9659b1296df9,2021-12-11,Kalwa,Locality 41,Landslide,Major,94,15,0,40707.58,42,5,Resolved
220255cb-90b6-47b1-8c6b-db429ae5eafb,2019-04-04,Kalwa,Locality 41,Electrical Hazard,Major,38,20,0,15869.57,6,18,Resolved
f6c32a74-5112-461a-bb08-fe6dcb2988fc,2025-09-27,Kalwa,Locality 37,Flood,Major,268,6,0,25780.29,14,45,Resolved
96d270a8-26a3-45f5-b782-7d7408cd7e16,2020-07-02,Mumbra,Locality 17,Building Emergency,Major,299,10,0,31472.81,57,72,Resolved
993fb2d7-b834-425a-a838-7bddabfb7897,2023-12-20,Uthalsar,Locality 1,Gas Leakage,Major,125,14,0,1220.49,42,20,Resolved
ec73d62b-08fd-4bad-945e-14e0c8683a31,2024-09-12,Kalwa,Locality 32,Flood,Critical,435,13,0,783111.25,30,46,Resolved
ad19c796-416d-4276-a689-78362f3388d3,2019-09-07,Naupada-Kopri,Locality 20,Building Emergency,Minor,7,4,0,31557.46,59,8,Resolved
ccdd9799-bd18-45c7-bcf6-f27bdeea639f,2024-10-10,Uthalsar,Locality 47,Gas Leakage,Minor,18,2,0,2933.77,29,19,Resolved
c7eeb0db-447c-4289-a63d-211f9ae22507,2020-04-25,Wagle Estate,Locality 47,Building Emergency,Major,282,2,0,24116.42,14,35,Resolved
99740eba-d260-45fe-9946-f7c55fa4b506,2022-07-04,Wagle Estate,Locality 50,Gas Leakage,Moderate,11,1,0,33805.56,41,47,Resolved
79099982-7a0d-407e-9cd4-437cef0a065c,2019-08-17,Naupada-Kopri,Locality 3,Tree Fall,Moderate,16,4,0,10803.8,20,40,Resolved
88335b2a-28bc-45ca-a603-b2a67846f48a,2022-08-27,Wagle Estate,Locality 33,Flood,Moderate,3,3,0,26232.95,27,70,Resolved
157059d8-e239-45db-a86f-000223578a19,2024-01-20,Kalwa,Locality 10,Fire,Minor,14,4,0,10611.08,28,54,Resolved
96a10d9e-2289-4c05-b37c-ccccaa09ce14,2024-06-18,Lokmanya-Savarkar Nagar,Locality 8,Tree Fall,Minor,17,1,0,24030.53,19,33,Resolved
2d5ae449-2a22-4267-9a4b-95bd3b01ce23,2023-08-11,Mumbra,Locality 33,Flood,Major,9,3,0,8888.96,55,18,Resolved
dcd088a5-2f1c-417c-956e-d4fa7a64f52c,2018-07-14,Wagle Estate,Locality 48,Flood,Moderate,12,2,0,43509.8,6,18,Resolved
463ad6d1-490c-427e-9b82-5f49f9b12f58,2022-10-09,Mumbra,Locality 42,Fire,Minor,9,2,0,33680.35,22,13,Resolved
86d9691b-9d21-4fcc-af4d-9d3ab34a5523,2019-10-01,Lokmanya-Savarkar Nagar,Locality 28,Fire,Minor,13,1,0,37061.84,12,68,Resolved
15783341-863d-408b-9a9b-d650d1e24fc2,2018-10-14,Kalwa,Locality 49,Electrical Hazard,Moderate,1,5,0,13593.37,35,18,Resolved
6375e479-5b42-4cf7-9ff9-6e90aaec8c4d,2019-02-22,Naupada-Kopri,Locality 48,Road Accident,Minor,14,4,0,12292.6,21,32,Resolved
c2ff142a-472f-4c04-a4d7-19fa320da8b1,2024-03-01,Uthalsar,Locality 42,Building Emergency,Moderate,7,3,0,23970.0,35,45,Resolved
5290312e-c8cd-4e60-b2c1-f7410a1162b3,2020-09-05,Majiwada-Manpada,Locality 17,Flood,Minor,4,1,0,47117.61,13,18,Resolved
eda326e4-f0ce-4329-bddf-c360ffc6c498,2020-07-15,Mumbra,Locality 7,Tree Fall,Minor,16,3,0,34048.19,8,22,Resolved
2b9cccfe-972e-4af2-b1f2-f2c7807c38df,2019-06-10,Diva,Locality 34,Tree Fall,Minor,7,0,0,12136.44,29,25,Resolved
e714900b-5a5d-4c17-b6db-428e7061c29e,2026-07-16,Diva,Locality 49,Fire,Major,383,11,0,9640.95,55,3,Resolved
4b63ae76-cdda-45e1-bea8-b14d3db92d88,2025-05-11,Diva,Locality 29,Road Accident,Minor,15,5,0,25645.46,43,40,Resolved
838c5abc-c55e-40c3-bc29-73dc8f6bd9f3,2021-08-22,Wagle Estate,Locality 10,Flood,Moderate,10,1,0,7409.31,45,7,Resolved
409ec20f-515f-46ae-b3f1-94a0e3333262,2025-09-19,Vartak Nagar,Locality 34,Flood,Moderate,18,3,0,32597.39,38,9,Resolved
4b4d619b-a9d9-4537-9531-b6d8f0253697,2024-07-24,Uthalsar,Locality 50,Tree Fall,Major,326,20,0,16952.84,50,38,Resolved
478bb630-2c26-470c-b553-8578dba16d47,2019-06-04,Diva,Locality 41,Flood,Minor,1,3,0,9472.91,45,43,Resolved
5839eb73-8a88-4831-902f-b9c312b94e22,2025-07-16,Kalwa,Locality 23,Flood,Minor,9,5,0,10638.4,55,49,Resolved
045e5210-ac78-4b18-bc3d-d1656a40b4d9,2025-10-22,Mumbra,Locality 9,Road Accident,Moderate,0,5,0,24455.85,45,20,Resolved
0b7c55a3-4e73-440d-bef1-7faeb5386648,2018-08-26,Naupada-Kopri,Locality 43,Flood,Minor,13,2,0,9717.38,57,53,Resolved
a372d153-bb45-4ca9-a725-904e459ebabe,2020-07-11,Uthalsar,Locality 38,Fire,Minor,1,2,0,29722.5,11,33,Resolved
e833623f-2782-4630-a65c-257a0099483d,2025-07-04,Naupada-Kopri,Locality 33,Fire,Moderate,15,0,0,1076.68,21,46,Resolved
bae3e283-96a4-4768-a5fb-608d63a21a23,2020-05-22,Wagle Estate,Locality 28,Gas Leakage,Moderate,11,5,0,45090.56,23,51,Resolved
bb8c061d-ecff-4dcc-ae40-3d0e539bfc4d,2022-03-27,Diva,Locality 30,Road Accident,Minor,3,0,0,47542.69,27,15,Resolved
3e4ef4c6-174b-4d2d-97f1-3def60600702,2023-03-03,Wagle Estate,Locality 15,Fire,Moderate,13,2,0,11077.93,20,42,Resolved
3a26ed65-bd3c-42d7-8392-6c2af8f52f96,2025-07-16,Mumbra,Locality 50,Tree Fall,Minor,10,5,0,39563.79,13,50,Resolved
a904f052-a793-481a-bc12-c14788a65187,2021-07-22,Uthalsar,Locality 17,Tree Fall,Minor,0,5,0,32705.73,33,12,Resolved
4141fb06-fc98-4bf1-9ba9-37ee3574bb86,2020-06-28,Diva,Locality 31,Tree Fall,Minor,8,3,0,5181.61,47,5,Resolved
17400b6c-33e6-4953-b4ec-5ec8ff443764,2024-07-20,Kalwa,Locality 30,Landslide,Minor,3,1,0,39889.08,52,12,Resolved
3ca5270e-daa4-4396-9b55-290cc8a76c9a,2022-03-25,Lokmanya-Savarkar Nagar,Locality 48,Road Accident,Minor,1,3,0,25522.15,56,32,Resolved
dcb3346c-dfb3-4da3-9bb5-778b516472f7,2024-08-28,Majiwada-Manpada,Locality 32,Flood,Major,105,13,0,16970.31,33,49,Resolved
0e2540db-326d-4f56-a820-358399438ed3,2026-07-25,Uthalsar,Locality 42,Flood,Major,304,17,0,9617.02,49,29,Resolved
f6c0e785-d6bd-489c-aa65-8fe2e653fd58,2022-09-24,Kalwa,Locality 17,Flood,Major,312,4,0,9987.28,29,12,Resolved
a701bbef-27bb-40ef-aab3-48d2c74a408b,2021-10-22,Kalwa,Locality 12,Fire,Moderate,14,1,0,6258.52,41,51,Resolved
